"CountryID","Country","IndicatorName",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4,"Afghanistan","Final consumption expenditure",1691108977.3168273,1826664359.9342144,1544444495.2833188,1637777779.8565822,1984444452.7225516,2173333410.661077,2248888962.7242885,2680000053.9084954,2942222152.895235,3302299763.1965704,3267891072.854258,3109967280.1574826,3077042975.4906006,3043752183.9120607,3006622795.204542,2972943050.4386415,2971971382.78064,2583997230.123165,2384418637.848921,2991104595.2596636,3241081960.08797,3116502075.3288174,3374469265.3231335,2689199275.989294,2214902250.5205493,3513193826.404306,3510793694.1450925,3504356401.423182,3494164103.233408,3367516249.4462914,4507324222.970587,4646550220.401633,5092313225.990733,6318556491.389557,6630613773.62725,7348228746.319233,7717235831.650395,10618075253.064034,10033142804.290165,11440963925.424738,15559337859.785309,19502805012.962624,22824645453.424297,21907411521.159317,20160736889.06939,19054338290.1223,18415522726.870316,18595867250.725384,20827026879.42574,21380902605.01985,22863085554.01436,16637700248.68494,16933011830.777222
4,"Afghanistan","Household consumption expenditure (including Non-profit institutions serving households)",1577101925.6728258,1703518766.6414216,1440324922.5774083,1527366076.1058,1850662043.1883857,2026816933.8009086,2097278863.3783188,2499326383.125305,2743870597.5365,3079673433.8802786,3047584397.6767993,2900307023.5723314,2869602593.2607484,2838555870.4556623,2803929301.4847155,2772521427.873396,2771613476.1273947,2409794547.241952,2223675684.4587235,2789451461.1124167,3022579919.8167024,2906425891.29256,3146932964.8618546,2507913020.0700717,2065658684.7307522,3276081312.0040154,3274290439.495379,3268555075.7930627,3257178135.373454,3141951875.3733535,4205070347.8038144,4323943508.99112,4764064913.357172,5873885579.892648,6076023305.187943,6679163802.69584,6895654281.59657,9476716391.056913,8965250732.921688,9850898291.246895,12841965199.864883,16158080664.157785,18517359046.550175,17584088603.04275,15815179501.532818,14969064839.030882,14295836656.486109,14607873830.797548,16883256160.152319,17219764120.752453,18444997719.339382,13414128579.957624,13836419744.348042
4,"Afghanistan","General government final consumption expenditure",114007051.64400165,123145593.29279284,104119572.70591053,110411681.52778324,133782409.53416586,146516476.86016846,151610077.1229707,180673670.7831903,198351555.35873497,222626329.31629223,220306675.17745876,209660256.58515084,207440362.46685305,205196313.4563983,202693513.4828264,200421642.3282455,200357906.65324542,174202682.88121337,160742953.3901969,201653134.14724702,218502060.03426763,210076184.03625733,227536300.4612787,181286255.91922206,149243565.78979725,237112515.60029063,236503254.64971328,235801325.29678947,236985967.8599539,225564374.07293808,302253875.16677195,322606711.38946027,328248312.63356113,444670911.4969093,554590468.4393064,669064943.6233925,821581550.0538251,1141358861.9871037,1067892071.3684776,1590065634.1778438,2717372659.920426,3344724348.8262286,4307286406.874124,4323322918.116564,4345557387.554042,4085273451.091416,4119686070.384207,3987993419.927835,3943770719.273421,4161138484.267398,4418087834.674975,3223571668.727316,3096592086.4291806
4,"Afghanistan","Gross capital formation",95555562.25026704,99999984.26628049,104444450.72829193,126666649.70035514,188888891.26952836,231111100.42864707,348888883.87397635,366666660.8300261,457777778.8412807,492313911.01800936,480714719.38695717,468307978.5883557,458233728.8751142,453112147.6842579,449357823.55366284,443208634.8665429,443222824.70054287,385593521.4404723,355627062.4074356,446177274.6225465,483502407.6535922,442107005.72054154,455942647.23455846,346584719.15042454,272652408.6922544,413587068.00050694,395714134.53766084,378582800.13460475,362163145.4770328,335182278.5631981,431196567.09434664,492265004.8045829,483993821.8056408,534819859.4124037,863288266.6823422,1191370718.2283885,1434621753.8167884,1487765489.9286718,1285068869.8312392,1530317451.2667658,1989911170.2903812,2372606536.0641785,3013380605.2661552,2985914824.1794953,2795861226.4815054,2711462732.7244515,2331711614.6507583,2640511427.6091056,2689518828.572436,2434403827.554756,2289180422.1209855,1968902934.0451143,2362752283.441646
4,"Afghanistan","Gross fixed capital formation (including Acquisitions less disposals of valuables)",95555562.25026704,99999984.26628049,104444450.72829193,126666649.70035514,188888891.26952836,231111100.42864707,348888883.87397635,366666660.8300261,457777778.8412807,492313911.01800936,480714719.38695717,468307978.5883557,458233728.8751142,453112147.6842579,449357823.55366284,443208634.8665429,443222824.70054287,385593521.4404723,355627062.4074356,446177274.6225465,483502407.6535922,442107005.72054154,455942647.23455846,346584719.15042454,272652408.6922544,413587068.00050694,395714134.53766084,378582800.13460475,362163145.4770328,335182278.5631981,431196567.09434664,492265004.8045829,483993821.8056408,534819859.4124037,863288266.6823422,1191370718.2283885,1434621753.8167884,1487765489.9286718,1285068869.8312392,1530317451.2667658,1989911170.2903812,2372606536.0641785,3013380605.2661552,2985914824.1794953,2795861226.4815054,2711462732.7244515,2331711614.6507583,2640511427.6091056,2689518828.572436,2434403827.554756,2289180422.1209855,1968902934.0451143,2362752283.441646
4,"Afghanistan","Exports of goods and services",171111114.3134786,199999990.75555998,235555544.66765952,224444445.1816279,302222230.47584516,299999997.24483943,337777784.38794476,344444461.8579629,357777772.35200125,440326651.5178164,417730004.1488861,396811030.5416112,398734137.3576973,390619627.8352784,386363519.3007054,382937176.61046904,382043355.40946794,332354074.5554071,306776424.45837575,384683692.20947117,416898390.1225107,461897832.02456576,561018723.7386872,491946880.6346026,439437605.048715,747538111.2009162,794085994.7555546,836519425.0564569,875067343.1797212,880413092.2089688,1225051538.3086004,1221288588.8972063,1270930749.211857,2033321221.6483352,1806325787.7352145,1878037754.3427846,2108933975.470069,2121889654.2607987,2136954391.0721924,2406834649.9354196,2343234541.4145613,2015377882.5557792,2503510470.332709,3029988907.2998962,3093255193.0477314,3270651052.6840677,3324496756.9397097,4178085647.8700104,2944148648.2287717,2376328727.21164,2082393749.9393203,2174408239.096315,2605366599.9991794
4,"Afghanistan","Imports of goods and services",208888901.45658386,295555553.005827,288888875.53580886,255555554.85471502,320000007.43189496,337777784.38794476,380000015.77006245,437777790.8772242,457777778.8412807,537000038.506803,524612443.80988854,496298514.8915276,495126346.7844074,488045046.8497097,481898373.12464476,477188959.1995845,476637670.31458384,414444932.25050765,382522193.1364685,479765659.13958764,519882869.2846368,680406235.9818335,916829087.971123,863329065.9310575,812390323.3099062,1438015267.2017624,1576230061.7895188,1703162968.535421,1819429087.6434019,1863113723.456126,2631694709.905328,2739568898.864515,2562046421.0904937,3987906458.495511,3796154685.5608897,3942657383.9094257,3967898631.444558,4228394200.1272073,3159019572.289363,3446515671.197218,4747913912.198207,5967689181.649173,8547130673.626412,8018905912.473477,6549392384.208918,6336878371.630353,5886742739.849162,6432580950.70799,7733529739.300093,6819276722.4778805,7251651514.363048,5620090865.741151,7726136314.192306
4,"Afghanistan","Gross Domestic Product (GDP)",1748886596.862996,1831108981.957219,1595555481.8054674,1733333275.4378521,2155555500.3670335,2366666612.831624,2555555570.770149,2953333407.9422593,3300000103.031228,3697940355.827202,3641723443.2232113,3478787915.8675027,3438884593.7539997,3399439011.396882,3360445863.7492633,3321900001.531069,3320599991.3910675,2887499992.683537,2664299990.8672633,3342200001.7670937,3621600007.157436,3340100005.150091,3474600006.811256,2664399991.6472635,2114600000.2314816,3236300000.4039664,3124359411.287943,3016290743.127973,2911960069.0085487,2719992174.9115577,3531869351.4063425,3620525249.7050195,4285191375.917737,4898791113.954784,5504073142.463016,6474979834.98098,7292892929.492694,9999336197.106281,10296146492.904234,11931600355.449577,15144569659.313572,17923100249.9548,19794405855.37711,19904409340.16523,19500460924.407177,18699573703.900463,18224349784.215027,19034302820.422146,18856319310.77826,19372358437.2955,19983008211.711617,15160920556.085217,14174994400.025742
4,"Afghanistan","Agriculture, hunting, forestry, fishing (ISIC A-B)",878687780.1255083,920010935.6370819,801641220.3903879,870871218.0182317,1083067657.3079855,1188976425.8863873,1284009992.1131427,1484165632.7536988,1657178880.2205868,1858590478.77613,1831206025.2514846,1743165590.2842934,1732784850.865888,1711812672.5350463,1666160273.0760999,1701699992.5260844,1668899993.6050441,1364599991.6246715,1632400005.3499994,2262900002.263772,1294399997.4285855,1660000003.2370334,1926500006.8223598,1691399991.2380717,1549799999.8726296,2125800000.0026054,1994876365.1356246,1872016046.654628,1756722441.734304,1595022290.8909569,2013191557.3417878,1927812145.9501095,1849755622.7916129,2027963668.212524,1862386897.0236113,2272585563.9496818,2462249235.671066,3504385645.3039336,3003033958.9668264,3934798327.3720813,4493102545.332966,5211050904.440082,5462840732.992416,5382079921.592705,5188962929.57771,4532803265.728308,4719621892.680585,4839052801.683859,4325515583.198809,5028423418.956519,5990027394.447833,5093708554.460446,4777172133.874282
4,"Afghanistan","Mining, Manufacturing, Utilities (ISIC C-E)",380487566.145124,398376435.87317497,347123422.1644172,377109248.0601389,468964992.09888744,514857173.9818676,556044680.3075451,642513347.158697,717742932.2725761,805022956.4388548,791976884.9506587,756029323.1089534,750661311.2017514,737023932.7937806,728822566.6400024,734699999.3908999,705200006.4468638,626899988.5967679,455600016.10355806,520200006.1456372,745700006.1389134,677200005.4398295,420600000.0225152,278599999.1503413,173400000.9556652,175800000.00021547,213644776.77804333,259636465.94302875,315528867.2866513,371007366.51259637,606430036.0189224,713594739.8182464,733618263.7581195,722299789.3629689,804929944.328402,849902343.5234523,883574193.3340892,1244362458.8724399,1229096682.4154384,1042375402.2851465,1235461369.040755,1614133295.845696,1544970832.9503903,1375613643.1763804,1322779113.6556182,1283435478.8945582,1298744110.5519204,1438978637.1972928,1898472879.8411808,2672111668.2466683,2192680526.738285,1953132288.9607565,2132734206.1128078
